article_id,article_link,sentence,category,voice
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," At  least  24  journalists  are  among  the  more  than  6,000  people  who  have  been  killed  in  the  ongoing  war  between  Israel  and  Hamas,  according  to  the  latest  tally  released  Wednesday  by  the  Committee  to  Protect  Journalists. ",palestine,PASSIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," Of  the  two  dozen  journalists  who  have  died,  20  were  Palestinian,  three  were  Israeli  and  one  was  Lebanese. ",both,ACTIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," The  committee's  latest  tally  is  most  likely  an  undercount,  as  CPJ  officials  say  they  are  also  investigating  at  least  100  additional  reports  of  journalists  killed,  missing,  detained  or  threatened. ",palestine,
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," Israeli  airstrikes  on  Gaza  in  the  days  since  the  attack  have  killed  more  than  7,000,  according  to  Palestinian  officials. ",palestine,ACTIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," On  Wednesday,  Al  Jazeera  Arabic  Bureau  Chief  Wael  Dahdouh's  wife,  15-year-old  son,  7-year-old  daughter  and  grandson  were  all  killed  in  an  Israeli  air  raid,  according  to  the  outlet. ",palestine,PASSIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas,"The  Palestinian  journalists  killed  were  based  in  Gaza  and  were  ""incredibly  vital  to  the  world's  understanding  of  what's  going  on  on  the  ground  in  Gaza,""  Westcott  said. ",palestine,ACTIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," He  was  killed  in  an  Israeli  airstrike  in  the  Sheikh  Radwan  neighborhood  in  Gaza  City,  according  to  CPJ. ",palestine,PASSIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," On  Monday,  Palestinian  journalist,  filmmaker  and  Ain  Media  co-founder  Roshdi  Sarraj  was  killed    in  an  Israeli  airstrike  in  Gaza,  according  to  his  company. ",palestine,PASSIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," The  CPJ's  investigations  have  revealed  that  ""some  journalists  were  shot  and  killed  while  reporting  on  the  conflict  while  some  were  killed  in  airstrikes,  in  some  cases,  along  with  their  families,""  Westcott  said. ",palestine,PASSIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," The  CPJ's  investigations  have  revealed  that  ""some  journalists  were  shot  and  killed  while  reporting  on  the  conflict  while  some  were  killed  in  airstrikes,  in  some  cases,  along  with  their  families,""  Westcott  said. ",palestine,
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," The  CPJ's  investigations  have  revealed  that  ""some  journalists  were  shot  and  killed  while  reporting  on  the  conflict  while  some  were  killed  in  airstrikes,  in  some  cases,  along  with  their  families,""  Westcott  said. ",palestine,PASSIVE
301,https://www.npr.org/2023/10/25/1208019720/journalist-deaths-gaza-israel-hamas," ""They  went  after  me  because  I  talked  about  the  need  for  empathy  and  prayer  for  Gaza's  children  who  are  being  slaughtered.  """,palestine,ACTIVE
