article_id,article_link,sentence,category,voice
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," RAFAH,  Gaza  Strip  —  Israeli  forces  stormed  the  main  hospital  in  southern  Gaza  on  Thursday,  hours  after  Israeli  fire  killed  a  patient  and  wounded  six  others  inside  the  complex. ",palestine,ACTIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," Separately,  Israel  launched  airstrikes  into  southern  Lebanon  for  a  second  day  after  killing  10  civilians  and  three  Hezbollah  fighters  on  Wednesday  in  response  to  a  rocket  attack  that  killed  an  Israeli  soldier  and  wounded  several  others. ",israel,ACTIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," Separately,  Israel  launched  airstrikes  into  southern  Lebanon  for  a  second  day  after  killing  10  civilians  and  three  Hezbollah  fighters  on  Wednesday  in  response  to  a  rocket  attack  that  killed  an  Israeli  soldier  and  wounded  several  others. ",israel,ACTIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," Several  people  have  been  killed  inside  the  compound  in  recent  days,  according  to  health  officials. ",palestine,PASSIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," The  strike  killed  one  patient  and  wounded  six  others,  all  of  whom  were  already  being  treated  for  previous  wounds,  Dr.  Khaled  Alserr,  one  of  the  remaining  surgeons  at  Nasser  Hospital,  told  the  AP. ",palestine,ACTIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff,"The  war  began  when  Hamas  militants  burst  through  Israel's  formidable  defenses  on  Oct.  7  and  rampaged  through  several  communities,  killing  some  1,200  people  and  taking  another  250  hostage. ",israel,ACTIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," Around  130  captives  remain  in  Gaza,  a  fourth  of  whom  are  believed  to  be  dead. ",israel,
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," Over  28,000  Palestinians  have  been  killed,  80%  of  the  population  have  fled  their  homes  and  a  quarter  are  starving  amid  a  worsening  humanitarian  catastrophe. ",palestine,PASSIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," At  least  28,663  Palestinians  have  been  killed  since  the  war  began,  mostly  women  and  children,  according  to  Gaza's  Health  Ministry,  which  does  not  distinguish  between  civilians  and  combatants. ",palestine,PASSIVE
12,https://www.npr.org/2024/02/15/1231639347/israeli-forces-enter-main-hospital-in-southern-gaza-after-prolonged-standoff," Airstrikes  late  Wednesday  in  central  Gaza  killed  at  least  11  people,  including  four  children  and  five  women,  according  to  hospital  records. ",palestine,ACTIVE
