article_id,article_link,sentence,category,voice
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," The  burial  was  for  Tariq  Mohammed,  who  was  killed  when  Hamas  attacked  on  October  7. ",palestine,PASSIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," In  total,  17  people  were  killed  in  this  Palestinian  Bedouin  community  in  Israel. ",palestine,PASSIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," ""Just  as  they  were  returning  to  their  tent,  another  rocket  came  and  killed  them,""  he  said. ",palestine,ACTIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," The  more  than  1,400  people  killed  included  Jewish  people,  Arabs,  women  and  children. ",both,ACTIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city,"He  took  us  to  meet  the  family  of  Tariq  Mohammed,  the  man  killed  by  Hamas. ",palestine,ACTIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," He  was  among  many  killed  in  the  nearby  town  of  Ofakim,  home  to  a  largely  Sephardic  Jewish  community,  when  Hamas  militants  breached  the  border. ",palestine,ACTIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," ""They  shot  him,""  Hamd  El  Kamalat  said. ",palestine,ACTIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," And  already  around  3,000  people  have  been  killed  by  retaliatory  Israeli  airstrikes,  according  to  the  Palestinian  Health  Ministry. ",palestine,PASSIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," ""When  we  found  out  he  was  dead  we  wanted  to  go  see  him,""  she  said. ",palestine,ACTIVE
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," ""There  were  dead  bodies  everywhere. ",both,
361,https://www.npr.org/2023/10/13/1205671760/palestinian-israeli-city," ""There  were  too  many  dead  bodies. ",both,
