article_id,article_link,sentence,category,voice
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed," In  audio  released  through  Hamas  channels  on  the  Telegram  messaging  platform  and  other  mediums,  Ezzedin  al-Qassam  Brigades  said  the  group  will  execute  a  civilian  hostage  each  time  Israel  bombs  a  home  without  warning  and  would  release  the  sound  and  images  of  that  execution. ",israel,ACTIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed," Gunmen  for  the  group  infiltrated  Israel  by  sea,  land  and  air  entering  homes,  killing  civilians  and  capturing  hostages  of  all  ages. ",israel,ACTIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed,"There  are  2,300  wounded  and  700  dead  from  these  attacks,  the  Israeli  military  spokesman  said. ",israel,
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed, Israeli  media  later  reported  the  number  of  dead  in  Israel  had  reached  900. ,israel,
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed," Officials  with  the  Health  Ministry  in  Gaza  said  Monday  that  more  than  680  people  have  been  killed  in  Israeli  strikes  and  more  than  3,700  wounded,  according  to  The  Associated  Press. ",palestine,PASSIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed, Israelis  fear  that  the  attack  at  the  rave  left  at  least  260  people  killed. ,israel,ACTIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed," Eman  Abou  Saeid,  a  woman  in  Gaza  reached  by  NPR  by  phone  on  Monday,  said  she  had  just  been  told  her  cousin  was  killed  in  an  Israeli  airstrike. ",palestine,PASSIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed," She  said  that  the  images  of  Israeli  civilians  being  killed  and  taken  hostage  are  disturbing,  something  many  do  not  want  to  see. ",israel,ACTIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed,Hamas  says  Israeli  airstrikes  on  Gaza  overnight  and  into  Monday  morning  killed  four  hostages  and  their  captors  from  its  military  wing. ,both,ACTIVE
385,https://www.npr.org/2023/10/09/1204639253/israel-gaza-hamas-us-citizens-killed," The  group  released  an  image  of  one  of  the  alleged  hostages  killed  in  the  airstrike,  a  19-year-old  Israeli  whom  Hamas  identified  by  name  and  described  as  an  Israeli  soldier. ",israel,
